<DATE>;<CLOSE>
240322;1.07563
250322;1.0742
270322;1.07362
280322;1.07102
290322;1.07368
300322;1.0828
310322;1.08296
10422;1.0802
30422;1.07979
40422;1.0791
50422;1.07548
60422;1.0713
70422;1.0696
80422;1.0699
100422;1.07
110422;1.0734
120422;1.07202
130422;1.0703
140422;1.0598
150422;1.0599
170422;1.0606
180422;1.05827
190422;1.0498
200422;1.0533
210422;1.0481
220422;1.0446
240422;1.04609
250422;1.04309
260422;1.0387
270422;1.0318
280422;1.02885
290422;1.0268
10522;1.026
20522;1.02265
30522;1.02146
40522;1.027
50522;1.01467
60522;1.0111
80522;1.01072
90522;1.00679
100522;1.00387
110522;1.0051
120522;0.9965
130522;0.9978
150522;0.99735
160522;0.9978
170522;1.0062
180522;1.01277
190522;1.0281
200522;1.026
220522;1.02537
230522;1.03517
240522;1.04108
250522;1.0395
260522;1.04298
270522;1.0441
290522;1.0435
300522;1.04335
310522;1.04186
10622;1.03816
20622;1.0438
30622;1.0384
50622;1.03887
60622;1.02931
70622;1.02693
80622;1.02142
90622;1.01972
100622;1.0121
120622;1.01033
130622;1.00304
140622;1.00045
150622;1.00535
160622;1.0338
170622;1.0307
190622;1.03093
200622;1.03346
210622;1.03479
220622;1.03966
230622;1.03993
240622;1.0428
260622;1.0441
270622;1.04539
280622;1.04492
290622;1.04792
300622;1.0465
10722;1.0419
30722;1.04289
40722;1.04042
50722;1.03238
60722;1.0304
70722;1.02658
80722;1.0235
100722;1.0222
110722;1.01709
120722;1.01816
130722;1.01927
140722;1.0169
150722;1.024
170722;1.0247
180722;1.0226
190722;1.0318
200722;1.02898
210722;1.0345
220722;1.0398
240722;1.03795
250722;1.03675
260722;1.03878
270722;1.04321
280722;1.04745
290722;1.0506
310722;1.049
10822;1.05203
20822;1.04313
30822;1.04011
40822;1.04785
50822;1.0393
70822;1.0389
80822;1.0466
90822;1.0476
100822;1.06085
110822;1.0617
120822;1.0619
140822;1.06148
150822;1.05683
160822;1.05268
170822;1.05093
180822;1.04498
190822;1.0424
210822;1.0425
220822;1.0364
230822;1.0364
240822;1.0341
250822;1.0372
260822;1.0348
280822;1.0319
290822;1.0334
300822;1.02637
310822;1.0209
10922;1.0187
20922;1.0188
40922;1.01675
50922;1.02166
60922;1.01535
70922;1.02352
80922;1.03207
90922;1.0405
110922;1.0414
120922;1.0489
130922;1.0407
140922;1.0389
150922;1.0392
160922;1.0363
180922;1.03804
190922;1.03712
200922;1.03729
210922;1.03317
220922;1.02442
230922;1.0182
250922;1.0174
260922;1.0074
270922;1.00805
280922;1.0223
290922;1.0253
300922;1.0125
21022;1.01427
31022;1.00699
41022;1.02141
51022;1.01869
61022;1.00983
71022;1.0049
91022;1.0051
101022;1.0001
111022;1.0018
121022;1.00215
131022;0.9979
141022;0.9939
161022;0.99619
171022;1.00406
181022;1.00595
191022;0.99472
201022;0.99577
211022;1.0016
231022;1.0019
241022;0.9999
251022;1.00487
261022;1.015
271022;1.0093
281022;1.0035
301022;1.00338
311022;0.998
11122;0.99987
21122;0.9962
31122;0.9864
41122;1.0058
61122;1.00305
71122;1.01092
81122;1.01534
91122;1.01647
101122;1.03591
111122;1.0621
131122;1.05891
141122;1.05973
151122;1.06015
161122;1.05852
171122;1.04908
181122;1.0473
201122;1.04848
211122;1.04292
221122;1.05103
231122;1.0622
241122;1.0594
251122;1.0572
271122;1.05506
281122;1.05345
291122;1.04728
301122;1.0592
11222;1.06754
21222;1.067
41222;1.06724
51222;1.06079
61222;1.06123
71222;1.06304
81222;1.06797
91222;1.0694
111222;1.06871
121222;1.06832
131222;1.07605
141222;1.08121
151222;1.07761
161222;1.0682
181222;1.0695
191222;1.0764
201222;1.07912
211222;1.0788
221222;1.0735
231222;1.0712
251222;1.0711
261222;1.0725
271222;1.07551
281222;1.07732
291222;1.08298
301222;1.0767
10123;1.0829
20123;1.08015
30123;1.06783
40123;1.07533
50123;1.06785
60123;1.0774
80123;1.07897
90123;1.08537
100123;1.08386
110123;1.07389
120123;1.07811
130123;1.079
150123;1.0784
160123;1.0799
170123;1.08428
180123;1.09136
190123;1.0915
200123;1.0862
220123;1.08673
230123;1.08459
240123;1.08405
250123;1.08994
260123;1.08645
270123;1.0858
290123;1.0857
300123;1.08041
310123;1.09095
10223;1.1018
20223;1.0946
30223;1.0795
50223;1.0786
60223;1.0771
70223;1.08479
80223;1.0856
90223;1.08408
100223;1.0822
120223;1.082
130223;1.088
140223;1.08486
150223;1.0826
160223;1.0788
170223;1.0817
190223;1.07986
200223;1.08273
210223;1.07776
220223;1.07355
230223;1.07073
240223;1.0622
260223;1.0633
270223;1.06848
280223;1.0613
10323;1.064
20323;1.0611
30323;1.0679
50323;1.0668
60323;1.07421
70323;1.061
80323;1.06251
90323;1.07163
100323;1.085
120323;1.08747
130323;1.09497
140323;1.09307
150323;1.07322
160323;1.0759
170323;1.079
190323;1.07838
200323;1.07576
210323;1.08457
220323;1.09056
230323;1.09047
240323;1.0866
260323;1.08777
270323;1.09236
280323;1.08616
290323;1.08879
300323;1.09451
310323;1.0923
20423;1.0895
30423;1.09515
40423;1.10377
50423;1.10292
60423;1.10516
70423;1.1038
90423;1.1052
100423;1.0998
110423;1.1069
120423;1.11591
130423;1.1244
140423;1.1182
160423;1.11683
170423;1.11265
180423;1.1156
190423;1.1135
200423;1.1202
210423;1.1202
230423;1.12093
240423;1.12705
250423;1.12091
260423;1.12229
270423;1.11843
280423;1.1175
300423;1.1172
10523;1.1157
20523;1.1202
30523;1.13165
40523;1.1289
50523;1.1223
70523;1.12177
80523;1.12332
90523;1.12311
100523;1.12406
110523;1.11803
120523;1.1126
140523;1.11285
150523;1.1165
160523;1.115
170523;1.1124
180523;1.1047
190523;1.1114
210523;1.11303
220523;1.11293
230523;1.10905
240523;1.1054
250523;1.1044
260523;1.1045
280523;1.10362
290523;1.10522
300523;1.1033
310523;1.0985
10623;1.1036
20623;1.0999
40623;1.0987
50623;1.1033
60623;1.1018
70623;1.09912
80623;1.112
90623;1.1068
110623;1.1066
120623;1.10042
130623;1.1044
140623;1.1104
150623;1.1209
160623;1.1182
180623;1.1175
190623;1.11587
200623;1.1135
210623;1.12
220623;1.1169
230623;1.1146
250623;1.116
260623;1.11606
270623;1.1183
280623;1.1147
290623;1.1117
300623;1.1167
20723;1.1167
30723;1.1157
40723;1.1147
50723;1.1125
60723;1.1165
70723;1.1243
90723;1.1244
100723;1.1293
110723;1.1375
120723;1.15351
130723;1.1635
140723;1.1597
160723;1.1597
170723;1.1619
180723;1.16549
190723;1.16518
200723;1.1539
210723;1.1546
230723;1.15402
240723;1.14916
250723;1.15635
260723;1.16038
270723;1.15051
280723;1.1482
300723;1.1492
310723;1.1468
10823;1.1456
20823;1.1394
30823;1.14342
40823;1.1454
60823;1.1435
70823;1.14518
80823;1.1416
90823;1.1398
100823;1.14
110823;1.1406
130823;1.14032
140823;1.1378
150823;1.13787
160823;1.13578
170823;1.13825
180823;1.1327
200823;1.13293
210823;1.13763
220823;1.13575
230823;1.13937
240823;1.12914
250823;1.1304
270823;1.12998
280823;1.13161
290823;1.13744
300823;1.13863
310823;1.13153
10923;1.1287
30923;1.12938
40923;1.12994
50923;1.12404
60923;1.12165
70923;1.11995
80923;1.1194
100923;1.12069
110923;1.12168
120923;1.12151
130923;1.11894
140923;1.11556
150923;1.1135
170923;1.11474
180923;1.11425
190923;1.11416
200923;1.11155
210923;1.10517
220923;1.102
240923;1.10195
250923;1.09616
260923;1.09175
270923;1.08581
280923;1.09294
290923;1.0923
11023;1.0919
21023;1.08918
31023;1.0853
41023;1.0904
51023;1.0952
61023;1.0988
81023;1.0997
91023;1.1047
101023;1.10524
111023;1.10956
121023;1.10125
131023;1.1076
151023;1.1077
161023;1.11024
171023;1.1105
181023;1.1122
191023;1.1209
201023;1.1203
221023;1.11916
231023;1.12225
241023;1.11944
251023;1.11493
261023;1.1121
271023;1.1075
291023;1.1077
301023;1.1081
311023;1.09867
11123;1.10398
21123;1.10333
31123;1.1118
51123;1.11179
61123;1.1118
71123;1.11089
81123;1.11199
91123;1.10682
101123;1.1087
121123;1.1083
131123;1.109
141123;1.1244
151123;1.1268
161123;1.1251
171123;1.1287
191123;1.12849
201123;1.13051
211123;1.1316
221123;1.1307
231123;1.13032
241123;1.1326
261123;1.13326
271123;1.13615
281123;1.13989
291123;1.1446
301123;1.14296
11223;1.1504
31223;1.15217
41223;1.14571
51223;1.14248
61223;1.14311
71223;1.14192
81223;1.1359
101223;1.13652
111223;1.13823
121223;1.1424
131223;1.14787
141223;1.15305
151223;1.1487
171223;1.1481
181223;1.15303
191223;1.16151
201223;1.15897
211223;1.16757
221223;1.1679
241223;1.1661
251223;1.16783
261223;1.17099
271223;1.18655
281223;1.18508
291223;1.1877
311223;1.1879
10124;1.18742
20124;1.17598
30124;1.17728
40124;1.17584
50124;1.1752
70124;1.17482
80124;1.17893
90124;1.17274
100124;1.17547
110124;1.1745
120124;1.1725
140124;1.17135
150124;1.16789
160124;1.16051
170124;1.15671
180124;1.15184
190124;1.1515
210124;1.15108
220124;1.15015
230124;1.14957
240124;1.1583
250124;1.15283
260124;1.1571
280124;1.15657
290124;1.16058
300124;1.1601
310124;1.15921
10224;1.16573
20224;1.1532
40224;1.15311
50224;1.14807
60224;1.14973
70224;1.14372
80224;1.14461
90224;1.1428
110224;1.14361
120224;1.14152
130224;1.1267
140224;1.12942
150224;1.13629
160224;1.1348
180224;1.13518
190224;1.13258
200224;1.13366
210224;1.13717
220224;1.13604
230224;1.1344
250224;1.13442
260224;1.13601
270224;1.13741
280224;1.13779
290224;1.13048
10324;1.1316
30324;1.13173
40324;1.12944
50324;1.13156
60324;1.13342
70324;1.13968
80324;1.1389
100324;1.13942
110324;1.13964
120324;1.13945
