<DATE>;<EURUSD>;;;
240322;1.10083;;;
250322;1.0982;;;
270322;1.09811;;;
280322;1.09904;;;
290322;1.1091;;;
300322;1.116;;;
310322;1.10725;;;
10422;1.1047;;;
30422;1.1045;;;
40422;1.09749;;;
50422;1.09057;;;
60422;1.0896;;;
70422;1.08639;;;
80422;1.0875;;;
100422;1.08841;;;
110422;1.0877;;;
120422;1.08257;;;
130422;1.08948;;;
140422;1.08194;;;
150422;1.0805;;;
170422;1.08138;;;
180422;1.07799;;;
190422;1.07939;;;
200422;1.08486;;;
210422;1.08348;;;
220422;1.0794;;;
240422;1.08092;;;
250422;1.07123;;;
260422;1.0641;;;
270422;1.05541;;;
280422;1.05021;;;
290422;1.0541;;;
10522;1.05347;;;
20522;1.05089;;;
30522;1.05248;;;
40522;1.06196;;;
50522;1.05391;;;
60522;1.0551;;;
80522;1.05316;;;
90522;1.0563;;;
100522;1.0529;;;
110522;1.05117;;;
120522;1.0377;;;
130522;1.0412;;;
150522;1.03975;;;
160522;1.04388;;;
170522;1.05477;;;
180522;1.04728;;;
190522;1.05791;;;
200522;1.056;;;
220522;1.05681;;;
230522;1.06834;;;
240522;1.07325;;;
250522;1.06866;;;
260522;1.07324;;;
270522;1.07317;;;
290522;1.07289;;;
300522;1.07729;;;
310522;1.07337;;;
10622;1.06509;;;
20622;1.07502;;;
30622;1.0719;;;
50622;1.0725;;;
60622;1.0689;;;
70622;1.06972;;;
80622;1.07162;;;
90622;1.0618;;;
100622;1.0515;;;
120622;1.0489;;;
130622;1.04149;;;
140622;1.04367;;;
150622;1.04571;;;
160622;1.05463;;;
170622;1.0498;;;
190622;1.04897;;;
200622;1.0517;;;
210622;1.05313;;;
220622;1.05638;;;
230622;1.05193;;;
240622;1.0554;;;
260622;1.05663;;;
270622;1.05797;;;
280622;1.0522;;;
290622;1.04457;;;
300622;1.04784;;;
10722;1.0428;;;
30722;1.0432;;;
40722;1.04325;;;
50722;1.02569;;;
60722;1.01841;;;
70722;1.01681;;;
80722;1.0183;;;
100722;1.0166;;;
110722;1.00451;;;
120722;1.003;;;
130722;1.00338;;;
140722;1.00265;;;
150722;1.00843;;;
170722;1.00974;;;
180722;1.01461;;;
190722;1.02304;;;
200722;1.01807;;;
210722;1.022;;;
220722;1.021;;;
240722;1.01992;;;
250722;1.02221;;;
260722;1.01282;;;
270722;1.02051;;;
280722;1.01918;;;
290722;1.02248;;;
310722;1.02102;;;
10822;1.0263;;;
20822;1.01562;;;
30822;1.01562;;;
40822;1.0247;;;
50822;1.0181;;;
70822;1.01712;;;
80822;1.0197;;;
90822;1.02076;;;
100822;1.02984;;;
110822;1.03196;;;
120822;1.0258;;;
140822;1.02531;;;
150822;1.0161;;;
160822;1.01696;;;
170822;1.0176;;;
180822;1.00884;;;
190822;1.0034;;;
210822;1.0036;;;
220822;0.9938;;;
230822;0.99665;;;
240822;0.99679;;;
250822;0.9969;;;
260822;0.9961;;;
280822;0.99358;;;
290822;1.00108;;;
300822;1.00232;;;
310822;1.00378;;;
10922;0.99513;;;
20922;0.995;;;
40922;0.99078;;;
50922;0.99503;;;
60922;0.98968;;;
70922;0.99979;;;
80922;1.00095;;;
90922;1.0039;;;
110922;1.00699;;;
120922;1.0129;;;
130922;0.99781;;;
140922;0.99821;;;
150922;0.99872;;;
160922;1.0015;;;
180922;1.0021;;;
190922;1.00299;;;
200922;0.99712;;;
210922;0.98306;;;
220922;0.98383;;;
230922;0.969;;;
250922;0.96854;;;
260922;0.9619;;;
270922;0.95951;;;
280922;0.97056;;;
290922;0.98293;;;
300922;0.98003;;;
21022;0.97934;;;
31022;0.98337;;;
41022;0.99834;;;
51022;0.99118;;;
61022;0.97888;;;
71022;0.9741;;;
91022;0.9734;;;
101022;0.97104;;;
111022;0.97001;;;
121022;0.97045;;;
131022;0.97671;;;
141022;0.9719;;;
161022;0.97394;;;
171022;0.98435;;;
181022;0.98627;;;
191022;0.9764;;;
201022;0.97778;;;
211022;0.9861;;;
231022;0.98593;;;
241022;0.98839;;;
251022;0.99617;;;
261022;1.00929;;;
271022;0.99666;;;
281022;0.9963;;;
301022;0.99541;;;
311022;0.98854;;;
11122;0.98769;;;
21122;0.98136;;;
31122;0.97488;;;
41122;0.99581;;;
61122;0.99284;;;
71122;1.00173;;;
81122;1.00799;;;
91122;1.0019;;;
101122;1.01917;;;
111122;1.03538;;;
131122;1.03266;;;
141122;1.03197;;;
151122;1.03573;;;
161122;1.0393;;;
171122;1.03604;;;
181122;1.0324;;;
201122;1.03304;;;
211122;1.02449;;;
221122;1.0309;;;
231122;1.04177;;;
241122;1.0407;;;
251122;1.0395;;;
271122;1.03667;;;
281122;1.03431;;;
291122;1.03234;;;
301122;1.04232;;;
11222;1.0528;;;
21222;1.05315;;;
41222;1.05427;;;
51222;1.04956;;;
61222;1.0467;;;
71222;1.05111;;;
81222;1.05551;;;
91222;1.053;;;
111222;1.05203;;;
121222;1.05412;;;
131222;1.06241;;;
141222;1.06757;;;
151222;1.06387;;;
161222;1.0584;;;
181222;1.0584;;;
191222;1.06117;;;
201222;1.06247;;;
211222;1.06074;;;
221222;1.06007;;;
231222;1.06172;;;
251222;1.06191;;;
261222;1.06397;;;
271222;1.06365;;;
281222;1.0628;;;
291222;1.066;;;
301222;1.0702;;;
10123;1.0703;;;
20123;1.06766;;;
30123;1.05451;;;
40123;1.06055;;;
50123;1.05204;;;
60123;1.06413;;;
80123;1.06619;;;
90123;1.0732;;;
100123;1.07385;;;
110123;1.07654;;;
120123;1.0859;;;
130123;1.08319;;;
150123;1.08222;;;
160123;1.08298;;;
170123;1.07892;;;
180123;1.07969;;;
190123;1.08331;;;
200123;1.0855;;;
220123;1.08638;;;
230123;1.0871;;;
240123;1.0889;;;
250123;1.09206;;;
260123;1.0893;;;
270123;1.08649;;;
290123;1.08715;;;
300123;1.08492;;;
310123;1.08607;;;
10223;1.10122;;;
20223;1.09043;;;
30223;1.0793;;;
50223;1.0789;;;
60223;1.0729;;;
70223;1.07299;;;
80223;1.07151;;;
90223;1.07387;;;
100223;1.06754;;;
120223;1.06772;;;
130223;1.0729;;;
140223;1.07349;;;
150223;1.0691;;;
160223;1.06647;;;
170223;1.0694;;;
190223;1.06842;;;
200223;1.0681;;;
210223;1.065;;;
220223;1.06048;;;
230223;1.05972;;;
240223;1.05437;;;
260223;1.05528;;;
270223;1.06097;;;
280223;1.05766;;;
10323;1.0668;;;
20323;1.05978;;;
30323;1.0634;;;
50323;1.06252;;;
60323;1.06849;;;
70323;1.05484;;;
80323;1.0549;;;
90323;1.05847;;;
100323;1.06386;;;
120323;1.06806;;;
130323;1.07227;;;
140323;1.07264;;;
150323;1.05815;;;
160323;1.06136;;;
170323;1.06639;;;
190323;1.06802;;;
200323;1.07186;;;
210323;1.07726;;;
220323;1.0869;;;
230323;1.08342;;;
240323;1.07588;;;
260323;1.07774;;;
270323;1.08064;;;
280323;1.08386;;;
290323;1.08424;;;
300323;1.09042;;;
310323;1.08381;;;
20423;1.0802;;;
30423;1.09064;;;
40423;1.09569;;;
50423;1.09025;;;
60423;1.09191;;;
70423;1.09014;;;
90423;1.0913;;;
100423;1.0869;;;
110423;1.09159;;;
120423;1.09968;;;
130423;1.10517;;;
140423;1.0991;;;
160423;1.09841;;;
170423;1.09245;;;
180423;1.09744;;;
190423;1.09509;;;
200423;1.09672;;;
210423;1.0988;;;
230423;1.09915;;;
240423;1.1057;;;
250423;1.09779;;;
260423;1.1045;;;
270423;1.10316;;;
280423;1.10144;;;
300423;1.10106;;;
10523;1.09686;;;
20523;1.09578;;;
30523;1.10682;;;
40523;1.10229;;;
50523;1.10174;;;
70523;1.10182;;;
80523;1.09965;;;
90523;1.09644;;;
100523;1.09826;;;
110523;1.09116;;;
120523;1.0847;;;
140523;1.08526;;;
150523;1.08733;;;
160523;1.08649;;;
170523;1.08375;;;
180523;1.07745;;;
190523;1.08019;;;
210523;1.08218;;;
220523;1.081;;;
230523;1.0769;;;
240523;1.07556;;;
250523;1.07232;;;
260523;1.0725;;;
280523;1.07209;;;
290523;1.0706;;;
300523;1.07316;;;
310523;1.06935;;;
10623;1.07606;;;
20623;1.0706;;;
40623;1.06961;;;
50623;1.07114;;;
60623;1.06982;;;
70623;1.07069;;;
80623;1.07811;;;
90623;1.0747;;;
110623;1.07501;;;
120623;1.0762;;;
130623;1.07947;;;
140623;1.08424;;;
150623;1.09455;;;
160623;1.09401;;;
180623;1.09395;;;
190623;1.09231;;;
200623;1.092;;;
210623;1.09912;;;
220623;1.09554;;;
230623;1.0891;;;
250623;1.09055;;;
260623;1.09098;;;
270623;1.0957;;;
280623;1.09147;;;
290623;1.08668;;;
300623;1.09074;;;
20723;1.0907;;;
30723;1.09126;;;
40723;1.08817;;;
50723;1.08544;;;
60723;1.0889;;;
70723;1.0964;;;
90723;1.0967;;;
100723;1.10053;;;
110723;1.10129;;;
120723;1.11397;;;
130723;1.12227;;;
140723;1.1227;;;
160723;1.12269;;;
170723;1.12366;;;
180723;1.1228;;;
190723;1.1205;;;
200723;1.11346;;;
210723;1.11245;;;
230723;1.11239;;;
240723;1.10627;;;
250723;1.10491;;;
260723;1.10771;;;
270723;1.09774;;;
280723;1.10147;;;
300723;1.10238;;;
310723;1.09966;;;
10823;1.10072;;;
20823;1.09434;;;
30823;1.09509;;;
40823;1.10072;;;
60823;1.10022;;;
70823;1.10026;;;
80823;1.09588;;;
90823;1.09768;;;
100823;1.09809;;;
110823;1.09436;;;
130823;1.09433;;;
140823;1.09075;;;
150823;1.09035;;;
160823;1.08737;;;
170823;1.08744;;;
180823;1.08711;;;
200823;1.08749;;;
210823;1.08975;;;
220823;1.08462;;;
230823;1.0865;;;
240823;1.07982;;;
250823;1.0793;;;
270823;1.0797;;;
280823;1.08256;;;
290823;1.08692;;;
300823;1.09294;;;
310823;1.08419;;;
10923;1.07733;;;
30923;1.07748;;;
40923;1.0791;;;
50923;1.07241;;;
60923;1.07239;;;
70923;1.06968;;;
80923;1.0699;;;
100923;1.07155;;;
110923;1.07476;;;
120923;1.07522;;;
130923;1.07321;;;
140923;1.06343;;;
150923;1.06596;;;
170923;1.06672;;;
180923;1.06916;;;
190923;1.06814;;;
200923;1.06498;;;
210923;1.06598;;;
220923;1.06432;;;
240923;1.06475;;;
250923;1.05909;;;
260923;1.05688;;;
270923;1.05048;;;
280923;1.05623;;;
290923;1.05709;;;
11023;1.05641;;;
21023;1.04795;;;
31023;1.04686;;;
41023;1.05066;;;
51023;1.05463;;;
61023;1.05857;;;
81023;1.05657;;;
91023;1.05782;;;
101023;1.06043;;;
111023;1.0623;;;
121023;1.05353;;;
131023;1.05043;;;
151023;1.05213;;;
161023;1.05543;;;
171023;1.05724;;;
181023;1.05379;;;
191023;1.0586;;;
201023;1.05924;;;
221023;1.05895;;;
231023;1.06699;;;
241023;1.05942;;;
251023;1.05655;;;
261023;1.05635;;;
271023;1.05605;;;
291023;1.05616;;;
301023;1.06131;;;
311023;1.0578;;;
11123;1.05866;;;
21123;1.06153;;;
31123;1.073;;;
51123;1.07311;;;
61123;1.07179;;;
71123;1.06956;;;
81123;1.0711;;;
91123;1.06667;;;
101123;1.0684;;;
121123;1.06903;;;
131123;1.07006;;;
141123;1.08777;;;
151123;1.08534;;;
161123;1.08531;;;
171123;1.09112;;;
191123;1.09056;;;
201123;1.09443;;;
211123;1.09165;;;
221123;1.08871;;;
231123;1.09038;;;
241123;1.09367;;;
261123;1.09393;;;
271123;1.09583;;;
281123;1.10032;;;
291123;1.09732;;;
301123;1.08914;;;
11223;1.08818;;;
31223;1.08854;;;
41223;1.0837;;;
51223;1.0793;;;
61223;1.07657;;;
71223;1.07892;;;
81223;1.07608;;;
101223;1.07647;;;
111223;1.07652;;;
121223;1.07974;;;
131223;1.08826;;;
141223;1.09934;;;
151223;1.08922;;;
171223;1.08945;;;
181223;1.09235;;;
191223;1.09786;;;
201223;1.0943;;;
211223;1.10048;;;
221223;1.10118;;;
241223;1.10149;;;
251223;1.10178;;;
261223;1.10418;;;
271223;1.11077;;;
281223;1.10673;;;
291223;1.10374;;;
311223;1.10353;;;
10124;1.10361;;;
20124;1.09408;;;
30124;1.09251;;;
40124;1.09459;;;
50124;1.094;;;
70124;1.09415;;;
80124;1.09489;;;
90124;1.09318;;;
100124;1.09739;;;
110124;1.09821;;;
120124;1.09483;;;
140124;1.09447;;;
150124;1.09449;;;
160124;1.08787;;;
170124;1.08858;;;
180124;1.08798;;;
190124;1.0897;;;
210124;1.08914;;;
220124;1.08774;;;
230124;1.08572;;;
240124;1.08812;;;
250124;1.08455;;;
260124;1.085;;;
280124;1.08424;;;
290124;1.08336;;;
300124;1.08429;;;
310124;1.0804;;;
10224;1.08742;;;
20224;1.0786;;;
40224;1.07797;;;
50224;1.07402;;;
60224;1.07568;;;
70224;1.07755;;;
80224;1.0777;;;
90224;1.0781;;;
110224;1.07973;;;
120224;1.0771;;;
130224;1.07084;;;
140224;1.07311;;;
150224;1.07718;;;
160224;1.0775;;;
180224;1.0784;;;
190224;1.07754;;;
200224;1.08089;;;
210224;1.08193;;;
220224;1.08253;;;
230224;1.08188;;;
250224;1.08181;;;
260224;1.08495;;;
270224;1.08409;;;
280224;1.0838;;;
290224;1.08047;;;
10324;1.08368;;;
30324;1.08414;;;
40324;1.08538;;;
50324;1.08552;;;
60324;1.08987;;;
70324;1.09508;;;
80324;1.09381;;;
100324;1.09427;;;
110324;1.09304;;;
120324;1.09259;;;
