"","AUDUSD","BZ","CHFUSD","EURUSD","GC","PL","SPX","USDNOK"
"220323",0.66971,75.47,1.09056,1.0869,1979.4,992.3,3959.21,10.44207
"230323",0.66808,75.15,1.09047,1.08342,1995.4,990.5,3948.72,10.39822
"240323",0.6645,74.61,1.0866,1.07588,1981,986.3,3970.99,10.47941
"270323",0.66588,77.76,1.09236,1.08064,1960.5,980.3,3977.53,10.4559
"280323",0.67058,78.42,1.08616,1.08386,1967.5,962.6,3971.27,10.36025
"290323",0.66813,77.53,1.08879,1.08424,1959.8,965.6,4027.81,10.4173
"300323",0.67151,78.56,1.09451,1.09042,1998.8,996.2,4050.83,10.3945
"310323",0.6685,79.93,1.0923,1.08381,1987,1000.3,4109.31,10.46453
"30423",0.67856,84.78,1.09515,1.09064,1995.4,998.2,4124.51,10.277
"40423",0.67595,85.26,1.10377,1.09569,2039.7,1029.3,4100.6,10.30112
"50423",0.67154,84.88,1.10292,1.09025,2027.9,1011.7,4090.38,10.4498
"60423",0.66734,84.94,1.10516,1.09191,2023.7,1017,4105.02,10.4431
"100423",0.66481,84.31,1.0998,1.0869,2012.7,1004.9,4109.11,10.5169
"110423",0.66523,85.62,1.1069,1.09159,2032.1,1006.4,4108.94,10.5587
"120423",0.66963,87.23,1.11591,1.09968,2031.6,1030.7,4091.95,10.43723
"130423",0.67834,86.31,1.1244,1.10517,2059.4,1063.7,4146.22,10.3046
"140423",0.6708,86.63,1.1182,1.0991,2017.7,1058.5,4137.64,10.3704
"170423",0.6698,84.83,1.11265,1.09245,2012.2,1062.5,4151.32,10.4802
"180423",0.6735,84.87,1.1156,1.09744,2015.9,1096.7,4154.87,10.4651
"190423",0.67047,82.88,1.1135,1.09509,2004.4,1101.6,4154.52,10.5882
"200423",0.67423,80.86,1.1202,1.09672,2013.5,1110.5,4129.79,10.58568
"210423",0.669,81.88,1.1202,1.0988,1994.1,1141.3,4133.52,10.5733
"240423",0.67027,82.54,1.12705,1.1057,2002.8,1102.9,4137.04,10.52286
"250423",0.66359,80.76,1.12091,1.09779,2004.6,1108.1,4071.63,10.67
"260423",0.66078,77.77,1.12229,1.1045,2008.5,1105.1,4055.99,10.6251
"270423",0.66299,78.28,1.11843,1.10316,1997.6,1094,4135.35,10.61263
"280423",0.66112,80.34,1.1175,1.10144,1999.4,1088.5,4169.48,10.6484
"10523",0.66223,79.4,1.1157,1.09686,1990.6,1064.1,4167.87,10.7424
"20523",0.66762,75.23,1.1202,1.09578,2027.3,1074.4,4119.58,10.804
"30523",0.66412,71.93,1.13165,1.10682,2049.7,1069.9,4090.75,10.762
"40523",0.66958,72.54,1.1289,1.10229,2057.9,1053.5,4061.22,10.6779
"50523",0.6748,75.31,1.1223,1.10174,2025.7,1068.7,4136.25,10.5601
"80523",0.67805,76.61,1.12332,1.09965,2032.3,1085.2,4138.12,10.503
"90523",0.67663,77.28,1.12311,1.09644,2038.6,1116.4,4119.17,10.5636
"100523",0.67807,76.59,1.12406,1.09826,2038.4,1126.3,4137.64,10.4996
"110523",0.6699,75.43,1.11803,1.09116,2016.5,1102.3,4130.62,10.6765
"120523",0.66391,74.22,1.1126,1.0847,2015.7,1058.1,4124.08,10.6757
"150523",0.67011,75.56,1.1165,1.08733,2021.3,1070.7,4136.28,10.5944
"160523",0.66576,74.75,1.115,1.08649,1994.8,1068.3,4109.9,10.7183
"170523",0.66548,76.78,1.1124,1.08375,1984.9,1079.2,4158.77,10.7711
"180523",0.66267,75.95,1.1047,1.07745,1965.5,1058.6,4198.05,10.9148
"190523",0.665,75.79,1.1114,1.08019,1979.2,1071.7,4191.98,10.8709
"220523",0.66477,75.94,1.11293,1.081,1964.6,1075.9,4192.63,10.903
"230523",0.66135,77.5,1.10905,1.0769,1978.3,1060.3,4145.58,10.9571
"240523",0.65427,78.34,1.1054,1.07556,1957.8,1031.1,4115.24,10.9551
"250523",0.6498,76.23,1.1044,1.07232,1948.4,1026.5,4151.28,11.0551
"260523",0.6517,77.09,1.1045,1.0725,1946.8,1029.1,4205.45,11.0782
"300523",0.65174,73.69,1.1033,1.07316,1976.4,1027.9,4205.52,11.1811
"310523",0.65059,72.13,1.0985,1.06935,1981.5,1001.5,4179.83,11.05994
"10623",0.65768,74.32,1.1036,1.07606,1999.6,1009.3,4221.02,11.05181
"20623",0.66042,76.29,1.0999,1.0706,1964.9,1008.7,4282.37,11.0124
"50623",0.66126,76.6,1.1033,1.07114,1975,1034.6,4273.79,11.03575
"60623",0.66801,76.12,1.1018,1.06982,1979.3,1040.1,4283.85,11.0913
"70623",0.66582,76.8,1.09912,1.07069,1960.7,1026.6,4267.52,11.04427
"80623",0.6712,75.52,1.112,1.07811,1978.7,1015.6,4293.93,10.90028
"90623",0.6739,74.97,1.1068,1.0747,1975.5,1013.2,4298.86,10.75012
"120623",0.67524,72.11,1.10042,1.0762,1975.8,997.8,4338.93,10.79728
"130623",0.6766,74.19,1.1044,1.07947,1962.4,983.6,4369.01,10.64067
"140623",0.67961,73.61,1.1104,1.08424,1946.8,981.1,4372.59,10.63737
"150623",0.68794,75.63,1.1209,1.09455,1968.9,993.4,4425.84,10.49846
"160623",0.68707,76.56,1.1182,1.09401,1969.1,987.4,4409.59,10.5423
"200623",0.67895,75.42,1.1135,1.092,1947.9,965.9,4388.71,10.7233
"210623",0.67979,77.03,1.12,1.09912,1942.6,948.5,4365.69,10.64266
"220623",0.67591,74.23,1.1169,1.09554,1921.9,925,4381.89,10.65201
"230623",0.6677,74.14,1.1146,1.0891,1929.7,920.6,4348.33,10.81492
"260623",0.66737,74.39,1.11606,1.09098,1937.7,928.6,4328.82,10.73316
"270623",0.6682,72.69,1.1183,1.0957,1924,926.4,4378.41,10.7918
"280623",0.65985,73.57,1.1147,1.09147,1913.8,920.6,4376.86,10.76273
"290623",0.66165,74.31,1.1117,1.08668,1916.7,904.5,4396.44,10.7988
"300623",0.666,75.19,1.1167,1.09074,1926,910.2,4450.38,10.7332
"30723",0.66732,74.96,1.1157,1.09126,1930.7,919.6,4455.59,10.69
"50723",0.66547,76.53,1.1125,1.08544,1924.5,923.6,4446.82,10.67945
"60723",0.66277,76.51,1.1165,1.0889,1916.8,908.7,4411.59,10.7592
"70723",0.66868,78.3,1.1243,1.0964,1930.5,916.7,4398.95,10.6164
"100723",0.66762,77.79,1.1293,1.10053,1932,935.3,4409.53,10.47624
"110723",0.66923,79.35,1.1375,1.10129,1943.7,931.9,4439.26,10.3475
"120723",0.67916,80.2,1.15351,1.11397,1965.1,959.8,4472.16,10.11057
"130723",0.68881,81.54,1.1635,1.12227,1966.6,980.6,4510.04,9.94462
"140723",0.68371,79.66,1.1597,1.1227,1959.8,982.1,4505.42,10.04241
"170723",0.68091,78.56,1.1619,1.12366,1963.1,986.3,4522.79,10.06459
"180723",0.68128,79.82,1.16549,1.1228,1979.2,995.4,4554.98,10.0495
"190723",0.67702,79.54,1.16518,1.1205,1987.7,980.8,4565.72,10.0382
"200723",0.6778,79.62,1.1539,1.11346,1972.1,968,4534.87,10.0669
"210723",0.67283,80.86,1.1546,1.11245,1964.1,971.5,4536.34,10.06994
"240723",0.6731,82.75,1.14916,1.10627,1963.2,967,4554.64,10.0588
"250723",0.67871,83.2,1.15635,1.10491,1965.3,978.2,4567.46,10.0626
"260723",0.67602,82.95,1.16038,1.10771,1978,973.2,4566.75,10.1243
"270723",0.6711,83.86,1.15051,1.09774,1991.8,945.2,4537.41,10.1855
"280723",0.66445,84.92,1.1482,1.10147,1997.5,943.9,4582.23,10.18979
"310723",0.67151,85.33,1.1468,1.09966,2004,960.9,4588.96,10.12965
"10823",0.66172,85.68,1.1456,1.10072,1986.2,941.7,4576.73,10.16589
"20823",0.65412,83.38,1.1394,1.09434,1972.6,927.4,4513.39,10.28485
"30823",0.65597,85.25,1.14342,1.09509,1970.3,922.1,4501.89,10.23069
"40823",0.65663,86,1.1454,1.10072,1977.1,929,4478.03,10.13
"70823",0.65713,85.91,1.14518,1.10026,1967.8,924,4518.44,10.14488
"80823",0.65323,86.18,1.1416,1.09588,1963.9,904.2,4499.38,10.2655
"90823",0.65347,87.51,1.1398,1.09768,1951.2,893.4,4467.71,10.19708
"100823",0.65116,86.33,1.14,1.09809,1946.6,911,4468.83,10.31559
"110823",0.6498,86.6,1.1406,1.09436,1945.5,916.5,4464.05,10.41743
"140823",0.64877,86.19,1.1378,1.09075,1939.4,904.5,4489.72,10.47617
"150823",0.64571,85.08,1.13787,1.09035,1934.9,892.9,4437.86,10.5292
"160823",0.64133,83.37,1.13578,1.08737,1922.3,886.6,4404.33,10.6151
"170823",0.64058,83.72,1.13825,1.08744,1924.1,890.7,4370.36,10.5829
"180823",0.64026,84.72,1.1327,1.08711,1917.7,916.2,4369.71,10.6392
"210823",0.64122,84.59,1.13763,1.08975,1924.7,914.1,4399.77,10.6167
"220823",0.64239,83.89,1.13575,1.08462,1929.9,925.9,4387.55,10.6249
"230823",0.64805,83.07,1.13937,1.0865,1948.9,937.1,4436.01,10.5892
"240823",0.64118,83.23,1.12914,1.07982,1941,941.3,4376.31,10.72521
"250823",0.64014,84.62,1.1304,1.0793,1941.4,951.7,4405.71,10.6859
"280823",0.64271,84.42,1.13161,1.08256,1953.3,974.4,4433.31,10.7116
"290823",0.64757,85.53,1.13744,1.08692,1964.7,985.7,4497.63,10.58409
"300823",0.64792,85.95,1.13863,1.09294,1970.4,984.8,4514.87,10.5965
"310823",0.64858,86.82,1.13153,1.08419,1965.5,977.3,4507.66,10.63099
"10923",0.64496,88.77,1.1287,1.07733,1966.2,968.8,4515.77,10.6699
"50923",0.63743,90.05,1.12404,1.07241,1951.6,934.7,4496.83,10.7172
"60923",0.63809,90.63,1.12165,1.07239,1944.2,915.3,4465.48,10.7118
"70923",0.63769,89.76,1.11995,1.06968,1948.8,911.1,4451.14,10.70451
"80923",0.6376,90.46,1.1194,1.0699,1942.8,896.6,4457.49,10.67774
"110923",0.64287,90.61,1.12168,1.07476,1946.8,901.4,4487.46,10.64604
"120923",0.64278,91.96,1.12151,1.07522,1931.7,914.1,4461.9,10.67712
"130923",0.64206,92.19,1.11894,1.07321,1931.1,903.1,4467.44,10.71274
"140923",0.64303,94.14,1.11556,1.06343,1937.1,910.1,4505.1,10.74155
"150923",0.6428,94.21,1.1135,1.06596,1944.7,930.7,4450.32,10.7788
"180923",0.64385,94.57,1.11425,1.06916,1953.6,940.1,4453.53,10.80897
"190923",0.6464,94.4,1.11416,1.06814,1951.3,945,4443.95,10.76442
"200923",0.64357,93.2,1.11155,1.06498,1948.3,928.7,4402.2,10.7916
"210923",0.64088,93.24,1.10517,1.06598,1943.2,926.2,4330,10.77543
"220923",0.64376,93.63,1.102,1.06432,1944.4,933.2,4320.06,10.7422
"250923",0.64216,93.41,1.09616,1.05909,1932.3,915.7,4337.44,10.8073
"260923",0.63931,94.07,1.09175,1.05688,1917.9,905.1,4273.53,10.8253
"270923",0.63479,96.71,1.08581,1.05048,1891.4,897.3,4274.51,10.76064
"280923",0.64262,95.14,1.09294,1.05623,1880,918.7,4299.7,10.7283
"290923",0.6434,92.29,1.0923,1.05709,1864.9,915,4288.05,10.6944
"21023",0.63616,90.48,1.08918,1.04795,1836.1,884.8,4288.39,10.85723
"31023",0.6308,91.1,1.0853,1.04686,1835.9,876,4229.45,10.9534
"41023",0.63277,86.09,1.0904,1.05066,1842.6,872.2,4263.75,11.00814
"51023",0.63686,84.18,1.0952,1.05463,1837.8,865.1,4258.19,10.96559
"61023",0.63818,84.47,1.0988,1.05857,1844,884.7,4308.5,10.902
"91023",0.6421,88.25,1.1047,1.05782,1875.9,894.2,4335.66,10.77202
"101023",0.64317,87.72,1.10524,1.06043,1873.4,886.9,4358.24,10.80361
"111023",0.64174,85.54,1.10956,1.0623,1890.4,894.5,4376.95,10.8502
"121023",0.6315,86.26,1.10125,1.05353,1886.1,874.4,4349.61,10.96805
"131023",0.62943,90.94,1.1076,1.05043,1942.5,887.7,4327.78,10.9255
"161023",0.63366,90.16,1.11024,1.05543,1929.5,897.6,4373.63,10.92382
"171023",0.63627,90.91,1.1105,1.05724,1950.3,903.9,4373.2,10.95155
"181023",0.63321,91.41,1.1122,1.05379,1958.1,892.9,4314.6,11.05919
"191023",0.63241,93.05,1.1209,1.0586,1989.6,899.4,4278,10.99955
"201023",0.63092,92.19,1.1203,1.05924,1990.8,903.6,4224.16,11.0528
"231023",0.63356,90.5,1.12225,1.06699,1987.9,902.5,4217.04,11.0765
"241023",0.63599,88.08,1.11944,1.05942,1983.9,894.1,4247.68,11.15645
"251023",0.62934,90.13,1.11493,1.05655,1997.3,909.2,4186.77,11.20789
"261023",0.6333,88.16,1.1121,1.05635,1997.8,912.4,4137.23,11.18769
"271023",0.63307,90.02,1.1075,1.05605,2015.6,912,4117.37,11.1722
"301023",0.63676,87.91,1.1081,1.06131,2001.5,940.7,4166.82,11.14108
"311023",0.63366,85.62,1.09867,1.0578,1985.6,942,4193.8,11.17514
"11123",0.64216,84.9,1.10398,1.05866,1993.2,934.9,4237.86,11.14122
"21123",0.64273,86.96,1.10333,1.06153,1993.1,931.2,4317.78,11.15988
"31123",0.65072,85.17,1.1118,1.073,1999.9,941.3,4358.34,11.028
"61123",0.64879,85.21,1.1118,1.07179,1977.9,914.3,4365.98,11.04243
"71123",0.64298,81.41,1.11089,1.06956,1973.7,898.5,4378.38,11.18889
"81123",0.64067,79.71,1.11199,1.0711,1954.4,874.8,4382.78,11.16752
"91123",0.63607,79.87,1.10682,1.06667,1962.6,864.3,4347.35,11.2191
"101123",0.63583,81.55,1.1087,1.0684,1939.9,845.6,4415.24,11.1086
"131123",0.6379,82.7,1.109,1.07006,1948.5,869.6,4411.55,11.0727
"141123",0.64974,82.37,1.1244,1.08777,1971.1,890.7,4495.7,10.87002
"151123",0.6511,81.07,1.1268,1.08534,1965.3,901.3,4502.88,10.79896
"161123",0.64683,77.45,1.1251,1.08531,1988.6,898.4,4508.24,10.93598
"171123",0.65131,80.52,1.1287,1.09112,1983.5,903.5,4514.02,10.79702
"201123",0.65593,82.03,1.13051,1.09443,1994,926.1,4547.38,10.69727
"211123",0.65573,82.39,1.1316,1.09165,2000.8,941,4538.19,10.66621
"221123",0.65419,81.66,1.1307,1.08871,1996,931.7,4556.62,10.74936
"241123",0.6582,80.23,1.1326,1.09367,2003.7,939.5,4559.34,10.7057
"271123",0.66126,80.08,1.13615,1.09583,2015.5,928.4,4550.43,10.63225
"281123",0.66556,81.66,1.13989,1.10032,2067.4,949.6,4554.89,10.60639
"291123",0.66168,82.9,1.1446,1.09732,2064.8,938,4550.58,10.65254
"301123",0.66063,80.35,1.14296,1.08914,2059.7,936.1,4567.8,10.808
"11223",0.66717,79.07,1.1504,1.08818,2089.3,940.8,4594.63,10.66825
"41223",0.66163,78.2,1.14571,1.0837,2050.2,924.3,4569.78,10.8395
"51223",0.65538,77,1.14248,1.0793,2039.6,906.3,4567.18,10.92315
"61223",0.6551,74.28,1.14311,1.07657,2043,894.8,4549.34,10.97224
"71223",0.65937,74.56,1.14192,1.07892,2047.8,909.6,4585.59,10.87271
"81223",0.6577,75.8,1.1359,1.07608,2019,921.8,4604.37,10.9023
"111223",0.65643,76.11,1.13823,1.07652,2000.8,916.5,4622.44,10.95545
"121223",0.6564,73.32,1.1424,1.07974,1993.1,935.8,4643.7,10.95913
"131223",0.66647,74.62,1.14787,1.08826,2045.8,943.1,4707.09,10.77714
"141223",0.67013,76.6,1.15305,1.09934,2051,963.5,4719.55,10.49952
"151223",0.67001,76.64,1.1487,1.08922,2034.7,947.9,4719.19,10.452
"181223",0.67031,78.04,1.15303,1.09235,2037.6,953.9,4740.56,10.39649
"191223",0.67577,79.27,1.16151,1.09786,2053.7,960.6,4768.37,10.26749
"201223",0.67393,79.15,1.15897,1.0943,2048,966,4698.35,10.341
"211223",0.67961,79.34,1.16757,1.10048,2061.1,970.9,4746.75,10.27279
"221223",0.6799,79.19,1.1679,1.10118,2064.8,978.4,4754.63,10.1939
"261223",0.68232,81.01,1.17099,1.10418,2077.1,984.8,4774.75,10.14421
"271223",0.68519,79.34,1.18655,1.11077,2096.6,1014.5,4781.58,10.09942
"281223",0.68252,77.48,1.18508,1.10673,2079.2,1020.3,4783.35,10.19146
"291223",0.681,77.08,1.1877,1.10374,2075.3,1005.3,4769.83,10.1654
"20124",0.67661,76.04,1.17598,1.09408,2073,996.6,4742.83,10.34865
"30124",0.67346,78.44,1.17728,1.09251,2050.3,986.5,4704.81,10.33616
"40124",0.67057,77.74,1.17584,1.09459,2051.3,967.3,4688.68,10.29029
"50124",0.67129,78.75,1.1752,1.094,2051.1,972.1,4697.24,10.2923
"80124",0.67163,76.27,1.17893,1.09489,2038.9,959.7,4763.54,10.3629
"90124",0.66836,77.49,1.17274,1.09318,2035.3,943.6,4756.5,10.35786
"100124",0.67017,76.78,1.17547,1.09739,2036.1,929.8,4783.45,10.34529
"110124",0.66986,78.48,1.1745,1.09821,2038.9,928.6,4780.24,10.29075
"120124",0.6685,78.45,1.1725,1.09483,2051.3,915.9,4783.83,10.28302
"160124",0.65882,77.9,1.16051,1.08787,2028.5,906.1,4765.98,10.46173
"170124",0.65518,78.11,1.15671,1.08858,2010,893.1,4739.21,10.5002
"180124",0.65816,78.96,1.15184,1.08798,2022.9,919,4780.94,10.52323
"190124",0.6597,78.85,1.1515,1.0897,2030.6,908.6,4839.81,10.48683
"220124",0.65699,79.89,1.15015,1.08774,2029,901.7,4850.43,10.52172
"230124",0.65858,79.73,1.14957,1.08572,2025.3,908.5,4864.6,10.49778
"240124",0.65755,80.23,1.1583,1.08812,2015.5,908.3,4868.55,10.46589
"250124",0.65819,82.36,1.15283,1.08455,2020.9,898,4894.16,10.43847
"260124",0.6574,83.58,1.1571,1.085,2017.9,921.8,4890.97,10.40976
"290124",0.66134,82.46,1.16058,1.08336,2049.5,938.3,4927.93,10.41782
"300124",0.65947,82.75,1.1601,1.08429,2052.6,930.6,4924.97,10.4374
"310124",0.65625,80.69,1.15921,1.0804,2063,928.3,4845.65,10.51072
"10224",0.65743,78.82,1.16573,1.08742,2072.3,922.7,4906.19,10.4332
"20224",0.6512,77.24,1.1532,1.0786,2054.5,901.6,4958.61,10.6102
"50224",0.64801,77.93,1.14807,1.07402,2042.2,904.6,4942.81,10.68953
"60224",0.65278,78.77,1.14973,1.07568,2051.1,911.7,4954.23,10.5856
"70224",0.65195,79.43,1.14372,1.07755,2047.4,890.9,4995.06,10.57503
"80224",0.6498,81.75,1.14461,1.0777,2047.5,895.4,4997.91,10.61435
"90224",0.6523,81.93,1.1428,1.0781,2040.3,881.1,5026.61,10.5373
"120224",0.65287,82.08,1.14152,1.0771,2032.4,896.4,5021.84,10.5
"130224",0.64529,82.66,1.1267,1.07084,2005,879.3,4953.17,10.6687
"140224",0.64985,81.44,1.12942,1.07311,2003.6,897.6,5000.62,10.57581
"150224",0.65251,82.85,1.13629,1.07718,2015.4,905,5029.73,10.52675
"160224",0.6531,83.37,1.1348,1.0775,2024.2,915.5,5005.57,10.4956
"200224",0.65528,82.56,1.13366,1.08089,2041.7,912,4975.51,10.4823
"210224",0.65536,83.16,1.13717,1.08193,2038.7,891.9,4981.8,10.47663
"220224",0.65578,83.42,1.13604,1.08253,2035.5,907.4,5087.03,10.4953
"230224",0.656,81.71,1.1344,1.08188,2046.9,906.8,5088.8,10.53322
"260224",0.65382,82.58,1.13601,1.08495,2043,884.8,5069.53,10.5109
"270224",0.65433,83.13,1.13741,1.08409,2039,894.6,5078.18,10.53298
"280224",0.64942,83.4,1.13779,1.0838,2043.5,883.9,5069.76,10.5894
"290224",0.64994,82.02,1.13048,1.08047,2053.8,883.6,5096.27,10.6181
"10324",0.65221,83.49,1.1316,1.08368,2093.5,892.2,5137.08,10.5099
"40324",0.65066,82.84,1.12944,1.08538,2123.9,902,5130.95,10.56752
"50324",0.65033,82.08,1.13156,1.08552,2134.2,886.9,5078.65,10.56928
"60324",0.65656,82.91,1.13342,1.08987,2165.5,909.1,5104.76,10.4864
"70324",0.66212,83.36,1.13968,1.09508,2164.6,924.1,5157.36,10.3978
"80324",0.66218,81.94,1.1389,1.09381,2183.6,916.8,5123.69,10.423
"120324",0.66072,82.36,1.13945,1.09259,2164.2,926.1,5175.27,10.5084
