<DATE>;<CLOSE>;;;;
240322;8.6599;;;;
250322;8.6043;;;;
270322;8.6234;;;;
280322;8.7017;;;;
290322;8.662;;;;
300322;8.56844;;;;
310322;8.77877;;;;
10422;8.7383;;;;
30422;8.75458;;;;
40422;8.7104;;;;
50422;8.7627;;;;
60422;8.79505;;;;
70422;8.8116;;;;
80422;8.697;;;;
100422;8.70225;;;;
110422;8.8184;;;;
120422;8.77291;;;;
130422;8.74563;;;;
140422;8.77959;;;;
150422;8.7972;;;;
170422;8.7988;;;;
180422;8.8485;;;;
190422;8.825;;;;
200422;8.8094;;;;
210422;8.8918;;;;
220422;8.9536;;;;
240422;8.941;;;;
250422;9.11842;;;;
260422;9.23895;;;;
270422;9.3287;;;;
280422;9.40838;;;;
290422;9.3647;;;;
10522;9.38614;;;;
20522;9.43728;;;;
30522;9.3905;;;;
40522;9.23627;;;;
50522;9.4816;;;;
60522;9.4858;;;;
80522;9.5158;;;;
90522;9.6626;;;;
100522;9.7286;;;;
110522;9.7476;;;;
120522;9.86721;;;;
130522;9.7529;;;;
150522;9.767;;;;
160522;9.7633;;;;
170522;9.6683;;;;
180522;9.8878;;;;
190522;9.68778;;;;
200522;9.7414;;;;
220522;9.72204;;;;
230522;9.6055;;;;
240522;9.5583;;;;
250522;9.56954;;;;
260522;9.5287;;;;
270522;9.4571;;;;
290522;9.45636;;;;
300522;9.40744;;;;
310522;9.3636;;;;
10622;9.4767;;;;
20622;9.3618;;;;
30622;9.4303;;;;
50622;9.43108;;;;
60622;9.428;;;;
70622;9.4573;;;;
80622;9.47038;;;;
90622;9.58275;;;;
100622;9.6953;;;;
120622;9.7799;;;;
130622;9.9061;;;;
140622;9.99259;;;;
150622;9.921;;;;
160622;9.956;;;;
170622;9.98748;;;;
190622;9.9858;;;;
200622;9.8865;;;;
210622;9.84569;;;;
220622;9.92338;;;;
230622;9.973;;;;
240622;9.8444;;;;
260622;9.83;;;;
270622;9.7917;;;;
280622;9.81693;;;;
290622;9.8848;;;;
300622;9.83873;;;;
10722;9.9222;;;;
30722;9.90971;;;;
40722;9.81254;;;;
50722;10.06273;;;;
60722;10.1225;;;;
70722;10.0675;;;;
80722;10.0716;;;;
100722;10.1235;;;;
110722;10.19405;;;;
120722;10.2611;;;;
130722;10.2291;;;;
140722;10.2201;;;;
150722;10.1597;;;;
170722;10.1554;;;;
180722;10.0837;;;;
190722;9.89683;;;;
200722;9.9674;;;;
210722;9.94047;;;;
220722;9.9262;;;;
240722;9.92465;;;;
250722;9.8313;;;;
260722;9.8858;;;;
270722;9.7276;;;;
280722;9.73077;;;;
290722;9.65905;;;;
310722;9.683;;;;
10822;9.63375;;;;
20822;9.7757;;;;
30822;9.71609;;;;
40822;9.7279;;;;
50822;9.78473;;;;
70822;9.81232;;;;
80822;9.7366;;;;
90822;9.7293;;;;
100822;9.5105;;;;
110822;9.5196;;;;
120822;9.56205;;;;
140822;9.5927;;;;
150822;9.70591;;;;
160822;9.6714;;;;
170822;9.70385;;;;
180822;9.7297;;;;
190822;9.797;;;;
210822;9.8107;;;;
220822;9.8204;;;;
230822;9.709;;;;
240822;9.6932;;;;
250822;9.65882;;;;
260822;9.7638;;;;
280822;9.8042;;;;
290822;9.7311;;;;
300822;9.81202;;;;
310822;9.95182;;;;
10922;10.0424;;;;
20922;10.0141;;;;
40922;10.05917;;;;
50922;9.93689;;;;
60922;10.03465;;;;
70922;10.00527;;;;
80922;10.02024;;;;
90922;9.9214;;;;
110922;9.87017;;;;
120922;9.8315;;;;
130922;10.1071;;;;
140922;10.0836;;;;
150922;10.1853;;;;
160922;10.185;;;;
180922;10.1846;;;;
190922;10.2057;;;;
200922;10.32887;;;;
210922;10.36637;;;;
220922;10.39283;;;;
230922;10.5994;;;;
250922;10.6018;;;;
260922;10.7825;;;;
270922;10.8027;;;;
280922;10.6987;;;;
290922;10.6787;;;;
300922;10.8835;;;;
21022;10.86493;;;;
31022;10.6397;;;;
41022;10.44032;;;;
51022;10.48412;;;;
61022;10.71741;;;;
71022;10.7023;;;;
91022;10.7181;;;;
101022;10.66972;;;;
111022;10.7543;;;;
121022;10.76402;;;;
131022;10.5809;;;;
141022;10.6882;;;;
161022;10.64;;;;
171022;10.51032;;;;
181022;10.54;;;;
191022;10.62674;;;;
201022;10.6626;;;;
211022;10.4756;;;;
231022;10.47244;;;;
241022;10.4971;;;;
251022;10.4001;;;;
261022;10.2234;;;;
271022;10.27;;;;
281022;10.3296;;;;
301022;10.31622;;;;
311022;10.3887;;;;
11122;10.34837;;;;
21122;10.4719;;;;
31122;10.5796;;;;
41122;10.23405;;;;
61122;10.26556;;;;
71122;10.2193;;;;
81122;10.2244;;;;
91122;10.36613;;;;
101122;10.0951;;;;
111122;9.9231;;;;
131122;9.9262;;;;
141122;10.0427;;;;
151122;9.979;;;;
161122;9.99612;;;;
171122;10.11745;;;;
181122;10.1866;;;;
201122;10.1794;;;;
211122;10.25224;;;;
221122;10.09521;;;;
231122;9.93377;;;;
241122;9.90858;;;;
251122;9.8844;;;;
271122;9.9088;;;;
281122;10.01698;;;;
291122;10.0042;;;;
301122;9.8221;;;;
11222;9.70996;;;;
21222;9.75918;;;;
41222;9.76055;;;;
51222;9.94;;;;
61222;10.01158;;;;
71222;10.0139;;;;
81222;9.95575;;;;
91222;9.98909;;;;
111222;10.0047;;;;
121222;9.97775;;;;
131222;9.7739;;;;
141222;9.7188;;;;
151222;9.84915;;;;
161222;9.8906;;;;
181222;9.9238;;;;
191222;9.89297;;;;
201222;9.8668;;;;
211222;9.8282;;;;
221222;9.86902;;;;
231222;9.882;;;;
251222;9.8511;;;;
261222;9.83503;;;;
271222;9.81758;;;;
281222;9.8767;;;;
291222;9.8897;;;;
301222;9.798;;;;
10123;9.8049;;;;
20123;9.84232;;;;
30123;10.0871;;;;
40123;10.0859;;;;
50123;10.2475;;;;
60123;10.00125;;;;
80123;9.9526;;;;
90123;9.907;;;;
100123;9.9727;;;;
110123;9.98414;;;;
120123;9.88301;;;;
130123;9.85535;;;;
150123;9.86096;;;;
160123;9.88889;;;;
170123;9.8773;;;;
180123;9.91136;;;;
190123;9.9016;;;;
200123;9.86225;;;;
230123;9.81802;;;;
240123;9.86199;;;;
250123;9.8917;;;;
260123;9.8613;;;;
270123;9.8776;;;;
290123;9.8595;;;;
300123;9.97604;;;;
310123;9.97899;;;;
10223;9.88279;;;;
20223;10.04246;;;;
30223;10.21099;;;;
50223;10.2227;;;;
60223;10.33041;;;;
70223;10.3115;;;;
80223;10.3089;;;;
90223;10.1773;;;;
100223;10.13707;;;;
120223;10.14374;;;;
130223;10.0856;;;;
140223;10.13522;;;;
150223;10.2074;;;;
160223;10.26086;;;;
170223;10.27297;;;;
190223;10.28851;;;;
200223;10.23789;;;;
210223;10.29444;;;;
220223;10.3478;;;;
230223;10.3008;;;;
240223;10.38172;;;;
260223;10.379;;;;
270223;10.33345;;;;
280223;10.3827;;;;
10323;10.3773;;;;
20323;10.443;;;;
30323;10.3764;;;;
50323;10.3933;;;;
60323;10.41212;;;;
70323;10.69122;;;;
80323;10.6756;;;;
90323;10.66044;;;;
100323;10.62636;;;;
120323;10.5792;;;;
130323;10.55919;;;;
140323;10.54681;;;;
150323;10.75413;;;;
160323;10.7476;;;;
170323;10.7029;;;;
190323;10.673;;;;
200323;10.6419;;;;
210323;10.5396;;;;
220323;10.44207;;;;
230323;10.39822;;;;
240323;10.47941;;;;
260323;10.46469;;;;
270323;10.4559;;;;
280323;10.36025;;;;
290323;10.4173;;;;
300323;10.3945;;;;
310323;10.46453;;;;
20423;10.45101;;;;
30423;10.277;;;;
40423;10.30112;;;;
50423;10.4498;;;;
60423;10.4431;;;;
70423;10.49258;;;;
90423;10.4918;;;;
100423;10.5169;;;;
110423;10.5587;;;;
120423;10.43723;;;;
130423;10.3046;;;;
140423;10.3704;;;;
160423;10.38126;;;;
170423;10.4802;;;;
180423;10.4651;;;;
190423;10.5882;;;;
200423;10.58568;;;;
210423;10.5733;;;;
230423;10.584;;;;
240423;10.52286;;;;
250423;10.67;;;;
260423;10.6251;;;;
270423;10.61263;;;;
280423;10.6484;;;;
300423;10.6722;;;;
10523;10.7424;;;;
20523;10.804;;;;
30523;10.762;;;;
40523;10.6779;;;;
50523;10.5601;;;;
70523;10.5719;;;;
80523;10.503;;;;
90523;10.5636;;;;
100523;10.4996;;;;
110523;10.6765;;;;
120523;10.6757;;;;
140523;10.6742;;;;
150523;10.5944;;;;
160523;10.7183;;;;
170523;10.7711;;;;
180523;10.9148;;;;
190523;10.8709;;;;
210523;10.8615;;;;
220523;10.903;;;;
230523;10.9571;;;;
240523;10.9551;;;;
250523;11.0551;;;;
260523;11.0782;;;;
280523;11.0768;;;;
290523;11.1139;;;;
300523;11.1811;;;;
310523;11.05994;;;;
10623;11.05181;;;;
20623;11.0124;;;;
40623;10.99976;;;;
50623;11.03575;;;;
60623;11.0913;;;;
70623;11.04427;;;;
80623;10.90028;;;;
90623;10.75012;;;;
110623;10.75228;;;;
120623;10.79728;;;;
130623;10.64067;;;;
140623;10.63737;;;;
150623;10.49846;;;;
160623;10.5423;;;;
180623;10.55333;;;;
190623;10.6863;;;;
200623;10.7233;;;;
210623;10.64266;;;;
220623;10.65201;;;;
230623;10.81492;;;;
250623;10.8085;;;;
260623;10.73316;;;;
270623;10.7918;;;;
280623;10.76273;;;;
290623;10.7988;;;;
300623;10.7332;;;;
20723;10.74485;;;;
30723;10.69;;;;
40723;10.6476;;;;
50723;10.67945;;;;
60723;10.7592;;;;
70723;10.6164;;;;
90723;10.62809;;;;
100723;10.47624;;;;
110723;10.3475;;;;
120723;10.11057;;;;
130723;9.94462;;;;
140723;10.04241;;;;
160723;10.05214;;;;
170723;10.06459;;;;
180723;10.0495;;;;
190723;10.0382;;;;
200723;10.0669;;;;
210723;10.06994;;;;
230723;10.0905;;;;
240723;10.0588;;;;
250723;10.0626;;;;
260723;10.1243;;;;
270723;10.1855;;;;
280723;10.18979;;;;
300723;10.187;;;;
310723;10.12965;;;;
10823;10.16589;;;;
20823;10.28485;;;;
30823;10.23069;;;;
40823;10.13;;;;
60823;10.13911;;;;
70823;10.14488;;;;
80823;10.2655;;;;
90823;10.19708;;;;
100823;10.31559;;;;
110823;10.41743;;;;
130823;10.43021;;;;
140823;10.47617;;;;
150823;10.5292;;;;
160823;10.6151;;;;
170823;10.5829;;;;
180823;10.6392;;;;
200823;10.6405;;;;
210823;10.6167;;;;
220823;10.6249;;;;
230823;10.5892;;;;
240823;10.72521;;;;
250823;10.6859;;;;
270823;10.67887;;;;
280823;10.7116;;;;
290823;10.58409;;;;
300823;10.5965;;;;
310823;10.63099;;;;
10923;10.6699;;;;
30923;10.665;;;;
40923;10.64076;;;;
50923;10.7172;;;;
60923;10.7118;;;;
70923;10.70451;;;;
80923;10.67774;;;;
100923;10.65762;;;;
110923;10.64604;;;;
120923;10.67712;;;;
130923;10.71274;;;;
140923;10.74155;;;;
150923;10.7788;;;;
170923;10.76195;;;;
180923;10.80897;;;;
190923;10.76442;;;;
200923;10.7916;;;;
210923;10.77543;;;;
220923;10.7422;;;;
240923;10.74667;;;;
250923;10.8073;;;;
260923;10.8253;;;;
270923;10.76064;;;;
280923;10.7283;;;;
290923;10.6944;;;;
21023;10.85723;;;;
31023;10.9534;;;;
41023;11.00814;;;;
51023;10.96559;;;;
61023;10.902;;;;
81023;10.8845;;;;
91023;10.77202;;;;
101023;10.80361;;;;
111023;10.8502;;;;
121023;10.96805;;;;
131023;10.9255;;;;
151023;10.91653;;;;
161023;10.92382;;;;
171023;10.95155;;;;
181023;11.05919;;;;
191023;10.99955;;;;
201023;11.0528;;;;
221023;11.0599;;;;
231023;11.0765;;;;
241023;11.15645;;;;
251023;11.20789;;;;
261023;11.18769;;;;
271023;11.1722;;;;
291023;11.17653;;;;
301023;11.14108;;;;
311023;11.17514;;;;
11123;11.14122;;;;
21123;11.15988;;;;
31123;11.028;;;;
51123;11.02249;;;;
61123;11.04243;;;;
71123;11.18889;;;;
81123;11.16752;;;;
91123;11.2191;;;;
101123;11.1086;;;;
121123;11.10042;;;;
131123;11.0727;;;;
141123;10.87002;;;;
151123;10.79896;;;;
161123;10.93598;;;;
171123;10.79702;;;;
191123;10.8145;;;;
201123;10.69727;;;;
211123;10.66621;;;;
221123;10.74936;;;;
231123;10.77299;;;;
241123;10.7057;;;;
261123;10.70536;;;;
271123;10.63225;;;;
281123;10.60639;;;;
291123;10.65254;;;;
301123;10.808;;;;
11223;10.66825;;;;
31223;10.64779;;;;
41223;10.8395;;;;
51223;10.92315;;;;
61223;10.97224;;;;
71223;10.87271;;;;
81223;10.9023;;;;
101223;10.8978;;;;
111223;10.95545;;;;
121223;10.95913;;;;
131223;10.77714;;;;
141223;10.49952;;;;
151223;10.452;;;;
181223;10.39649;;;;
191223;10.26749;;;;
201223;10.341;;;;
211223;10.27279;;;;
221223;10.1939;;;;
251223;10.1939;;;;
261223;10.14421;;;;
271223;10.09942;;;;
281223;10.19146;;;;
291223;10.1654;;;;
20124;10.34865;;;;
30124;10.33616;;;;
40124;10.29029;;;;
50124;10.2923;;;;
70124;10.30133;;;;
80124;10.3629;;;;
90124;10.35786;;;;
100124;10.34529;;;;
110124;10.29075;;;;
120124;10.28302;;;;
140124;10.28599;;;;
150124;10.3505;;;;
160124;10.46173;;;;
170124;10.5002;;;;
180124;10.52323;;;;
190124;10.48683;;;;
210124;10.48502;;;;
220124;10.52172;;;;
230124;10.49778;;;;
240124;10.46589;;;;
250124;10.43847;;;;
260124;10.40976;;;;
280124;10.42745;;;;
290124;10.41782;;;;
300124;10.4374;;;;
310124;10.51072;;;;
10224;10.4332;;;;
20224;10.6102;;;;
40224;10.61907;;;;
50224;10.68953;;;;
60224;10.5856;;;;
70224;10.57503;;;;
80224;10.61435;;;;
90224;10.5373;;;;
110224;10.53708;;;;
120224;10.5;;;;
130224;10.6687;;;;
140224;10.57581;;;;
150224;10.52675;;;;
160224;10.4956;;;;
180224;10.4975;;;;
190224;10.48848;;;;
200224;10.4823;;;;
210224;10.47663;;;;
220224;10.4953;;;;
230224;10.53322;;;;
250224;10.53378;;;;
260224;10.5109;;;;
270224;10.53298;;;;
280224;10.5894;;;;
290224;10.6181;;;;
10324;10.5099;;;;
30324;10.51525;;;;
40324;10.56752;;;;
50324;10.56928;;;;
60324;10.4864;;;;
70324;10.3978;;;;
80324;10.423;;;;
100324;10.42011;;;;
110324;10.4415;;;;
120324;10.5084;;;;
