<DATE>;<AUDUSD>
240322;0.75099
250322;0.7512
280322;0.74959
290322;0.75136
300322;0.7501
310322;0.74907
10422;0.7499
40422;0.75423
50422;0.7585
60422;0.75042
70422;0.74771
80422;0.7455
110422;0.74144
120422;0.74527
130422;0.7449
140422;0.74072
180422;0.73567
190422;0.73931
200422;0.74439
210422;0.73597
220422;0.7237
250422;0.71759
260422;0.71411
270422;0.71213
280422;0.71089
290422;0.7063
20522;0.70505
30522;0.71002
40522;0.72509
50522;0.71189
60522;0.7077
80522;0.70436
90522;0.69532
100522;0.69319
110522;0.69265
120522;0.68682
130522;0.6938
150522;0.69469
160522;0.69725
170522;0.70298
180522;0.69575
190522;0.70415
200522;0.7032
220522;0.70603
230522;0.70861
240522;0.71012
250522;0.7089
260522;0.7098
270522;0.716
290522;0.7157
300522;0.71937
310522;0.71825
10622;0.7171
20622;0.7262
30622;0.7206
50622;0.72005
60622;0.71855
70622;0.72207
80622;0.71859
90622;0.7097
100622;0.7051
120622;0.70196
130622;0.69402
140622;0.68868
150622;0.70176
160622;0.70397
170622;0.6931
190622;0.69504
200622;0.69678
210622;0.69594
220622;0.69047
230622;0.69022
240622;0.6947
260622;0.69438
270622;0.6921
280622;0.69029
290622;0.68779
300622;0.68975
10722;0.6813
30722;0.68121
40722;0.68713
50722;0.67935
60722;0.67814
70722;0.68469
80722;0.6856
100722;0.68445
110722;0.6736
120722;0.67457
130722;0.67325
140722;0.6756
150722;0.67887
170722;0.68128
180722;0.68093
190722;0.68952
200722;0.68838
210722;0.69217
220722;0.6924
240722;0.6902
250722;0.69498
260722;0.69454
270722;0.69935
280722;0.69972
290722;0.6984
310722;0.69702
10822;0.70239
20822;0.689
30822;0.69363
40822;0.69595
50822;0.6908
70822;0.69027
80822;0.69884
90822;0.69535
100822;0.70816
110822;0.7101
120822;0.7121
140822;0.71151
150822;0.70187
160822;0.70195
170822;0.69305
180822;0.69109
190822;0.6872
210822;0.68768
220822;0.68781
230822;0.69208
240822;0.69055
250822;0.6961
260822;0.689
280822;0.68646
290822;0.69071
300822;0.68541
310822;0.68276
10922;0.67951
20922;0.6808
40922;0.67879
50922;0.68111
60922;0.67274
70922;0.6752
80922;0.67643
90922;0.684
110922;0.6845
120922;0.68925
130922;0.67406
140922;0.67524
150922;0.66867
160922;0.6718
180922;0.67242
190922;0.67323
200922;0.66945
210922;0.6611
220922;0.66436
230922;0.6526
250922;0.65305
260922;0.647
270922;0.64337
280922;0.65028
290922;0.65082
300922;0.6402
21022;0.64195
31022;0.65025
41022;0.6513
51022;0.65122
61022;0.64139
71022;0.6368
91022;0.6358
101022;0.62957
111022;0.62648
121022;0.62751
131022;0.62945
141022;0.6194
161022;0.62219
171022;0.6296
181022;0.63146
191022;0.6263
201022;0.62734
211022;0.63805
231022;0.63684
241022;0.63274
251022;0.63838
261022;0.64958
271022;0.64501
281022;0.6409
301022;0.64005
311022;0.64092
11122;0.63956
21122;0.63372
31122;0.62873
41122;0.64681
61122;0.64385
71122;0.64739
81122;0.65084
91122;0.64305
101122;0.66057
111122;0.67031
131122;0.66945
141122;0.66925
151122;0.6769
161122;0.67388
171122;0.66873
181122;0.6671
201122;0.66822
211122;0.6607
221122;0.66492
231122;0.67451
241122;0.67652
251122;0.6748
271122;0.67112
281122;0.66514
291122;0.66826
301122;0.67988
11222;0.68105
21222;0.6791
41222;0.68124
51222;0.6706
61222;0.66973
71222;0.67247
81222;0.67748
91222;0.6793
111222;0.67784
121222;0.67515
131222;0.68411
141222;0.68575
151222;0.6705
161222;0.66905
181222;0.66866
191222;0.67048
201222;0.66876
211222;0.67121
221222;0.66753
231222;0.6717
251222;0.6706
261222;0.67437
271222;0.67287
281222;0.67463
291222;0.67652
301222;0.6813
10123;0.6814
20123;0.68073
30123;0.6725
40123;0.68278
50123;0.67517
60123;0.6875
80123;0.68958
90123;0.69087
100123;0.68926
110123;0.6909
120123;0.69665
130123;0.69734
150123;0.69715
160123;0.69659
170123;0.69874
180123;0.69429
190123;0.69116
200123;0.69675
220123;0.69831
230123;0.70283
240123;0.70503
250123;0.71068
260123;0.71129
270123;0.7103
290123;0.71076
300123;0.70572
310123;0.70502
10223;0.71471
20223;0.70725
30223;0.6917
50223;0.6918
60223;0.68879
70223;0.6964
80223;0.6928
90223;0.6937
100223;0.69143
120223;0.69122
130223;0.69679
140223;0.69869
150223;0.69063
160223;0.68616
170223;0.6877
190223;0.68688
200223;0.6908
210223;0.68629
220223;0.68112
230223;0.68078
240223;0.67212
260223;0.67333
270223;0.67399
280223;0.67298
10323;0.67592
20323;0.67316
30323;0.6768
50323;0.67539
60323;0.67309
70323;0.65887
80323;0.65939
90323;0.65883
100323;0.658
120323;0.66328
130323;0.66549
140323;0.6687
150323;0.66169
160323;0.66633
170323;0.6695
190323;0.67125
200323;0.67161
210323;0.66778
220323;0.66971
230323;0.66808
240323;0.6645
260323;0.66545
270323;0.66588
280323;0.67058
290323;0.66813
300323;0.67151
310323;0.6685
20423;0.6658
30423;0.67856
40423;0.67595
50423;0.67154
60423;0.66734
70423;0.6668
90423;0.66728
100423;0.66481
110423;0.66523
120423;0.66963
130423;0.67834
140423;0.6708
160423;0.67047
170423;0.6698
180423;0.6735
190423;0.67047
200423;0.67423
210423;0.669
230423;0.669
240423;0.67027
250423;0.66359
260423;0.66078
270423;0.66299
280423;0.66112
300423;0.66101
10523;0.66223
20523;0.66762
30523;0.66412
40523;0.66958
50523;0.6748
70523;0.67462
80523;0.67805
90523;0.67663
100523;0.67807
110523;0.6699
120523;0.66391
140523;0.66462
150523;0.67011
160523;0.66576
170523;0.66548
180523;0.66267
190523;0.665
210523;0.66583
220523;0.66477
230523;0.66135
240523;0.65427
250523;0.6498
260523;0.6517
280523;0.65245
290523;0.65272
300523;0.65174
310523;0.65059
10623;0.65768
20623;0.66042
40623;0.65969
50623;0.66126
60623;0.66801
70623;0.66582
80623;0.6712
90623;0.6739
110623;0.67444
120623;0.67524
130623;0.6766
140623;0.67961
150623;0.68794
160623;0.68707
180623;0.68718
190623;0.68493
200623;0.67895
210623;0.67979
220623;0.67591
230623;0.6677
250623;0.66804
260623;0.66737
270623;0.6682
280623;0.65985
290623;0.66165
300623;0.666
20723;0.66573
30723;0.66732
40723;0.6693
50723;0.66547
60723;0.66277
70723;0.66868
90723;0.66877
100723;0.66762
110723;0.66923
120723;0.67916
130723;0.68881
140723;0.68371
160723;0.68372
170723;0.68091
180723;0.68128
190723;0.67702
200723;0.6778
210723;0.67283
230723;0.67245
240723;0.6731
250723;0.67871
260723;0.67602
270723;0.6711
280723;0.66445
300723;0.66591
310723;0.67151
10823;0.66172
20823;0.65412
30823;0.65597
40823;0.65663
60823;0.65734
70823;0.65713
80823;0.65323
90823;0.65347
100823;0.65116
110823;0.6498
130823;0.64945
140823;0.64877
150823;0.64571
160823;0.64133
170823;0.64058
180823;0.64026
200823;0.64134
210823;0.64122
220823;0.64239
230823;0.64805
240823;0.64118
250823;0.64014
270823;0.64156
280823;0.64271
290823;0.64757
300823;0.64792
310823;0.64858
10923;0.64496
30923;0.64514
40923;0.64569
50923;0.63743
60923;0.63809
70923;0.63769
80923;0.6376
100923;0.63965
110923;0.64287
120923;0.64278
130923;0.64206
140923;0.64303
150923;0.6428
170923;0.64389
180923;0.64385
190923;0.6464
200923;0.64357
210923;0.64088
220923;0.64376
240923;0.64405
250923;0.64216
260923;0.63931
270923;0.63479
280923;0.64262
290923;0.6434
11023;0.6437
21023;0.63616
31023;0.6308
41023;0.63277
51023;0.63686
61023;0.63818
81023;0.63683
91023;0.6421
101023;0.64317
111023;0.64174
121023;0.6315
131023;0.62943
151023;0.63112
161023;0.63366
171023;0.63627
181023;0.63321
191023;0.63241
201023;0.63092
221023;0.63198
231023;0.63356
241023;0.63599
251023;0.62934
261023;0.6333
271023;0.63307
291023;0.63384
301023;0.63676
311023;0.63366
11123;0.64216
21123;0.64273
31123;0.65072
51123;0.65154
61123;0.64879
71123;0.64298
81123;0.64067
91123;0.63607
101123;0.63583
121123;0.63641
131123;0.6379
141123;0.64974
151123;0.6511
161123;0.64683
171123;0.65131
191123;0.65104
201123;0.65593
211123;0.65573
221123;0.65419
231123;0.65595
241123;0.6582
261123;0.65808
271123;0.66126
281123;0.66556
291123;0.66168
301123;0.66063
11223;0.66717
31223;0.66816
41223;0.66163
51223;0.65538
61223;0.6551
71223;0.65937
81223;0.6577
101223;0.65789
111223;0.65643
121223;0.6564
131223;0.66647
141223;0.67013
151223;0.67001
171223;0.66982
181223;0.67031
191223;0.67577
201223;0.67393
211223;0.67961
221223;0.6799
241223;0.6786
251223;0.68033
261223;0.68232
271223;0.68519
281223;0.68252
291223;0.681
311223;0.681
10124;0.68088
20124;0.67661
30124;0.67346
40124;0.67057
50124;0.67129
70124;0.67155
80124;0.67163
90124;0.66836
100124;0.67017
110124;0.66986
120124;0.6685
140124;0.66887
150124;0.66499
160124;0.65882
170124;0.65518
180124;0.65816
190124;0.6597
210124;0.65948
220124;0.65699
230124;0.65858
240124;0.65755
250124;0.65819
260124;0.6574
280124;0.65771
290124;0.66134
300124;0.65947
310124;0.65625
10224;0.65743
20224;0.6512
40224;0.65043
50224;0.64801
60224;0.65278
70224;0.65195
80224;0.6498
90224;0.6523
110224;0.65245
120224;0.65287
130224;0.64529
140224;0.64985
150224;0.65251
160224;0.6531
180224;0.65364
190224;0.65305
200224;0.65528
210224;0.65536
220224;0.65578
230224;0.656
250224;0.65634
260224;0.65382
270224;0.65433
280224;0.64942
290224;0.64994
10324;0.65221
30324;0.65272
40324;0.65066
50324;0.65033
60324;0.65656
70324;0.66212
80324;0.66218
100324;0.66238
110324;0.66142
120324;0.66072
