<DATE>;<PL>
240322;1029.9
250322;1005.6
270322;1004.4
280322;986.3
290322;983.5
300322;994
310322;988.1
10422;990.1
30422;989
40422;991.5
50422;968.6
60422;954.3
70422;963.8
80422;975.5
100422;978.3
110422;981.3
120422;968.2
130422;987.3
140422;991.1
170422;1001
180422;1017
190422;990.3
200422;987.3
210422;968.3
220422;923
240422;925.2
250422;912.6
260422;916.2
270422;908.9
280422;911.5
290422;932
10522;930.7
20522;932.8
30522;958.7
40522;986.4
50522;962
60522;947.4
80522;943.6
90522;936.1
100522;943.6
110522;982.5
120522;938.3
130522;930.8
150522;935.4
160522;928.9
170522;940.3
180522;915
190522;947.5
200522;948.6
220522;952.3
230522;947
240522;945.8
250522;936.4
260522;939.1
270522;943
290522;943.3
300522;948.1
310522;960.7
10622;991.1
20622;1025
30622;1020.3
50622;1019
60622;1022.1
70622;1013.4
80622;1009.6
90622;969.8
100622;972
120622;969.5
130622;929.4
140622;915.6
150622;936.2
160622;947.3
170622;929.2
190622;932.5
200622;932.3
210622;938.1
220622;926.3
230622;906.1
240622;904.2
260622;905.2
270622;902.6
280622;908.5
290622;911.1
300622;888.3
10722;877.4
30722;871.9
40722;875.3
50722;853.3
60722;842.6
70722;865.2
80722;883.7
100722;883.1
110722;857.6
120722;823.7
130722;830.9
140722;824.3
150722;832.6
170722;835.6
180722;849.6
190722;862
200722;840.7
210722;858.3
220722;864.1
240722;859.5
250722;869.8
260722;865.4
270722;882.1
280722;880.1
290722;890.5
310722;885.7
10822;904.7
20822;887
30822;888.8
40822;927.2
50822;931.9
70822;926.7
80822;942.8
90822;933.7
100822;944.6
110822;954.5
120822;963.4
140822;960.7
150822;929.2
160822;932.9
170822;920.8
180822;905.5
190822;889.3
210822;885.7
220822;868
230822;872.3
240822;866.7
250822;871.8
260822;852
280822;853.4
290822;855.3
300822;832.5
310822;822.1
10922;808.5
20922;818.2
40922;815.6
50922;832.2
60922;835.8
70922;852.2
80922;871.4
90922;873
110922;873.3
120922;902
130922;876.6
140922;903.7
150922;900.2
160922;905.2
180922;908.4
190922;920.3
200922;925.1
210922;907.6
220922;903.8
230922;852.9
250922;859.1
260922;849.7
270922;847.8
280922;863.9
290922;865
300922;857.4
21022;861.1
31022;903.2
41022;935.3
51022;924
61022;921.5
71022;915.5
91022;914.8
101022;902
111022;887
121022;883.7
131022;897.3
141022;898.8
161022;903.6
171022;917.2
181022;908.3
191022;878.8
201022;911.8
211022;934.6
231022;941.5
241022;931.2
251022;919
261022;961.4
271022;967.1
281022;949.5
301022;951.1
311022;932.1
11122;951.7
21122;937.2
31122;921.4
41122;967.7
61122;958
71122;990.2
81122;1012.1
91122;998.1
101122;1047
111122;1043.7
131122;1044.2
141122;1026.3
151122;1028.7
161122;1014.9
171122;992.3
181122;986.4
201122;987.9
211122;989.7
221122;1000.8
231122;1007.5
241122;996.9
251122;989.6
271122;984.1
281122;996.9
291122;1010.5
301122;1051.6
11222;1055.9
21222;1025.3
41222;1031.3
51222;1006.5
61222;996.2
71222;1013
81222;1015.2
91222;1036.6
111222;1027.4
121222;1010.4
131222;1041.4
141222;1036.4
151222;1013.3
161222;999.1
181222;1001.9
191222;987.8
201222;1012.6
211222;1003.3
221222;984.3
231222;1030.9
261222;1034.5
271222;1024.5
281222;1010.9
291222;1067.1
301222;1086
20123;1085.6
30123;1091.4
40123;1089.6
50123;1067
60123;1104.4
80123;1113
90123;1092.7
100123;1091.2
110123;1083
120123;1080.4
130123;1075
150123;1074
160123;1072.1
170123;1048.2
180123;1047
190123;1041.2
200123;1051.9
220123;1051.7
230123;1058.3
240123;1064.6
250123;1049.7
260123;1026.8
270123;1019
290123;1022
300123;1017.2
310123;1018.1
10223;1015
20223;1029.7
30223;980
50223;982.7
60223;977.8
70223;982.1
80223;974.6
90223;961
100223;951.3
120223;950.4
130223;961.1
140223;935.4
150223;919.7
160223;921.5
170223;920.8
190223;918.4
200223;928.8
210223;945.5
220223;951.1
230223;948.3
240223;909.4
260223;911
270223;938.3
280223;942.4
10323;951.2
60323;979.5
70323;934.7
80323;941.5
90323;945.5
100323;963.2
120323;967.2
130323;1005.4
140323;990
150323;968.6
160323;982.6
170323;980.9
190323;980.2
200323;995.6
210323;979.1
220323;992.3
230323;990.5
240323;986.3
260323;984.1
270323;980.3
280323;962.6
290323;965.6
300323;996.2
310323;1000.3
20423;992.4
30423;998.2
40423;1029.3
50423;1011.7
60423;1017
90423;1016.4
100423;1004.9
110423;1006.4
120423;1030.7
130423;1063.7
140423;1058.5
160423;1054
170423;1062.5
180423;1096.7
190423;1101.6
200423;1110.5
210423;1141.3
230423;1135.4
240423;1102.9
250423;1108.1
260423;1105.1
270423;1094
280423;1088.5
300423;1081.9
10523;1064.1
20523;1074.4
30523;1069.9
40523;1053.5
50523;1068.7
70523;1066.6
80523;1085.2
90523;1116.4
100523;1126.3
110523;1102.3
120523;1058.1
140523;1063.4
150523;1070.7
160523;1068.3
170523;1079.2
180523;1058.6
190523;1071.7
210523;1074
220523;1075.9
230523;1060.3
240523;1031.1
250523;1026.5
260523;1029.1
280523;1027.9
290523;1032.9
300523;1027.9
310523;1001.5
10623;1009.3
20623;1008.7
40623;1009.3
50623;1034.6
60623;1040.1
70623;1026.6
80623;1015.6
90623;1013.2
110623;1011.6
120623;997.8
130623;983.6
140623;981.1
150623;993.4
160623;987.4
180623;985.2
190623;979.1
200623;965.9
210623;948.5
220623;925
230623;920.6
250623;925.1
260623;928.6
270623;926.4
280623;920.6
290623;904.5
300623;910.2
20723;909.9
30723;919.6
40723;926.4
50723;923.6
60723;908.7
70723;916.7
90723;920
100723;935.3
110723;931.9
120723;959.8
130723;980.6
140723;982.1
160723;977.9
170723;986.3
180723;995.4
190723;980.8
200723;968
210723;971.5
230723;970.1
240723;967
250723;978.2
260723;973.2
270723;945.2
280723;943.9
300723;944
310723;960.9
10823;941.7
20823;927.4
30823;922.1
40823;929
60823;930.4
70823;924
80823;904.2
90823;893.4
100823;911
110823;916.5
130823;917.4
140823;904.5
150823;892.9
160823;886.6
170823;890.7
180823;916.2
200823;916.2
210823;914.1
220823;925.9
230823;937.1
240823;941.3
250823;951.7
270823;951.3
280823;974.4
290823;985.7
300823;984.8
310823;977.3
10923;968.8
30923;969.1
40923;959.9
50923;934.7
60923;915.3
70923;911.1
80923;896.6
100923;898.3
110923;901.4
120923;914.1
130923;903.1
140923;910.1
150923;930.7
170923;932.2
180923;940.1
190923;945
200923;928.7
210923;926.2
220923;933.2
240923;931.5
250923;915.7
260923;905.1
270923;897.3
280923;918.7
290923;915
11023;919
21023;884.8
31023;876
41023;872.2
51023;865.1
61023;884.7
81023;882
91023;894.2
101023;886.9
111023;894.5
121023;874.4
131023;887.7
151023;890.2
161023;897.6
171023;903.9
181023;892.9
191023;899.4
201023;903.6
221023;901.6
231023;902.5
241023;894.1
251023;909.2
261023;912.4
271023;912
291023;910.4
301023;940.7
311023;942
11123;934.9
21123;931.2
31123;941.3
51123;937.3
61123;914.3
71123;898.5
81123;874.8
91123;864.3
101123;845.6
121123;848.9
131123;869.6
141123;890.7
151123;901.3
161123;898.4
171123;903.5
191123;900.1
201123;926.1
211123;941
221123;931.7
231123;923.6
241123;939.5
261123;935.4
271123;928.4
281123;949.6
291123;938
301123;936.1
11223;940.8
31223;945.8
41223;924.3
51223;906.3
61223;894.8
71223;909.6
81223;921.8
101223;924.8
111223;916.5
121223;935.8
131223;943.1
141223;963.5
151223;947.9
171223;945.6
181223;953.9
191223;960.6
201223;966
211223;970.9
221223;978.4
241223;979.9
251223;978.7
261223;984.8
271223;1014.5
281223;1020.3
291223;1005.3
311223;1005.5
10124;1006.3
20124;996.6
30124;986.5
40124;967.3
50124;972.1
70124;971.2
80124;959.7
90124;943.6
100124;929.8
110124;928.6
120124;915.9
140124;917.6
150124;921.2
160124;906.1
170124;893.1
180124;919
190124;908.6
210124;908
220124;901.7
230124;908.5
240124;908.3
250124;898
260124;921.8
280124;918.8
290124;938.3
300124;930.6
310124;928.3
10224;922.7
20224;901.6
40224;904.2
50224;904.6
60224;911.7
70224;890.9
80224;895.4
90224;881.1
110224;881.6
120224;896.4
130224;879.3
140224;897.6
150224;905
160224;915.5
180224;913.2
190224;905.5
200224;912
210224;891.9
220224;907.4
230224;906.8
250224;904.3
260224;884.8
270224;894.6
280224;883.9
290224;883.6
10324;892.2
30324;889.8
40324;902
50324;886.9
60324;909.1
70324;924.1
80324;916.8
100324;920.6
110324;940.9
120324;926.1
